MINS_ELAPSED,MZ84_MZ283,MZ85_MZ283,MZ149_MZ283,MZ150_MZ283,MZ168_MZ283,M_AMMONIA,PPM_AMMONIA,M_BUTENEDIAL,M_BUTENEDIAL_std,M_C4H5NO,M_C4H5NO_std,M_DIMER,M_DIMER_std
18,0.07612950500395302,0.01585067201450086,0.0063634084729747966,0.02821111089685493,0.013980215584565844,0.00021749999999999997,3.5080645161290316,0.829655395589434,0.10095378644591547,0.019615983166449462,0.002549828214211578,0.10912017655507252,0.01102796675408225
37,0.0218843342389265,0.004668057577713402,0.006949551956531529,0.015437611635621332,0.007640004202752803,0.00021749999999999997,3.5080645161290316,0.24433532866802088,0.029731110919877065,0.0056388483284824376,0.0007329785329453248,0.05971246270402776,0.006034695638272255
70,0.02163969947478744,0.002487105207376528,0.008978072964506936,0.0155444075461033,0.006095291928684143,0.00021749999999999997,3.5080645161290316,0.13017998560633853,0.015840507439956703,0.005575814273354521,0.0007247849078357648,0.060125547770041636,0.006076443081489686
34,0.03092224345511765,0.008627703252417079,0.00640140263245858,0.017684268947205768,0.00766276275708096,0.00021749999999999997,3.5080645161290316,0.45159098291630045,0.05495030815516324,0.007967610022591685,0.001035687921581576,0.06840250129893362,0.0069129333734169246
13,0.019313391535119302,0.011088815709627569,0.00423567677781104,0.017630448326361525,0.009413963573988816,0.00021749999999999997,3.5080645161290316,0.5804104567789266,0.07062526636496719,0.004976403868910956,0.0006468691822678365,0.06819432390137206,0.006891894428175652
69,0.03360746011752059,0.005427578429497537,0.009641700685207043,0.01889430401034076,0.007432419064451671,0.00021749999999999997,3.5080645161290316,0.28409014614004424,0.03456854026054404,0.00865949899317189,0.001125624684032751,0.07308289974938381,0.007385946524026819
14,0.011079399242034342,0.011930940906751508,0.0032002994432227573,0.013858606653254106,0.007458007766808591,0.00021749999999999997,3.5080645161290316,0.6244889483984942,0.07598880724407937,0.0028547842129649156,0.0003710856228788908,0.05360489384269449,0.005417448961466725
14,0.03031024261934673,0.018100757694723614,0.004082914572864322,0.018203812028894473,0.008673739792713568,0.00021749999999999997,3.5080645161290316,0.9474293122680144,0.11528470371165728,0.00780991823027395,0.0010151899950800345,0.07041208656514722,0.007116027248490636
14,0.05419461822567272,0.02803949649506294,0.00417577447802819,0.021557247305344092,0.00895454888068139,0.00021749999999999997,3.5080645161290316,1.4676424782153032,0.1785850681046168,0.013964109168603564,0.0018151565099900483,0.08338312661990045,0.008426914043266797
4,0.013221706059523202,0.023278370514064017,0.005615396395936495,0.0,0.0,0.00021749999999999997,3.5080645161290316,1.218435765994958,0.14826119949588257,0.003406783788780486,0.00044283854398940195,0.0,0.0
15,0.015488688742137869,0.010478912611601008,0.003309750217901705,0.013969266044239936,0.007133826982120281,0.00021749999999999997,3.5080645161290316,0.5484869272527633,0.06674076058158167,0.003990908092997263,0.0005187672710310369,0.0540329227964638,0.0054607066725607875
14,0.10786206896551724,0.02574712643678161,0.013057471264367815,0.008183908045977012,0.008551724137931035,0.00021749999999999997,3.5080645161290316,1.3476553138981782,0.16398483935046504,0.027792385212752055,0.003612656442166936,0.03165524016946982,0.003199160294661147
65,0.010959977807035698,0.0035447095759998937,0.004685181352625948,0.013879409420561076,0.005812443031453243,0.00021749999999999997,3.5080645161290316,0.1855370815089354,0.022576446804331515,0.0028240133724277937,0.0003670858051429766,0.05368535865138885,0.005425580942766325
