MINS_ELAPSED,MZ85_MZ283
4.999999964,0.01792648838740454
4.000000023999998,0.045880129152784214
4.999999974,0.05157748241212446
37.00000009,0.03044093983011285
132.0000001,0.02866504588931044
252.0,0.007122219981997954
167.9999999,0.007784171006003845
173.0,0.00994006818763818
25.99999992,0.02597343501863371
41.9999999,0.024839095497212464
18.0,0.03346681616528804
42.99999998,0.021206981337704118
31.99999997,0.028432367847735483
105.0,0.017046139469449842
118.0000001,0.01632416950592592
108.0,0.016616523601710616
70.99999993,0.01727087285281407
147.9999999,0.014864239084220384
80.00000006,0.01770230429945875
63.0,0.011620308856628405
4.000000034,0.024974495760780688
4.000000023999998,0.035121013292716975
4.000000034,0.029754919323291554
3.000000094,0.03036751755123414
2.999999947,0.02709785163006788
