MINS_ELAPSED,pH,M_BUTENEDIAL,M_THCA_MONOMER
4.0,9.503747852622613,0.20135982152342502,0.02314895015829172
8.0,9.503747852622613,0.1858706044831616,0.026417138468076064
11.5,9.503747852622613,0.16693933921172843,0.020666530517369594
15.0,9.503747852622613,0.1583342186338043,0.020814931673217886
19.0,9.503747852622613,0.1462870498247105,0.021652797118878145
22.5,9.503747852622613,0.13596090513120151,0.02062998353766068
26.5,9.503747852622613,0.13079783278444704,0.021781577222989477
62.5,9.503747852622613,0.06268972497609689,0.03456907346860724
66.5,9.503747852622613,0.056719275470094546,0.03917336508233294
124.5,9.503747852622613,0.020896574992032294,0.04412530287899713
128.5,9.503747852622613,0.020896574992032294,0.044601186699245725
182.0,9.503747852622613,0.00716454009561245,0.04163347336662063
187.0,9.503747852622613,0.00716454009561245,0.043172537732922546
242.0,9.503747852622613,0.0017911351960055242,0.04288320810793583
246.5,9.503747852622613,0.0029852250972059913,0.0429275416891533
306.0,9.503747852622613,0.0002985226474025284,0.03501985511951557
365.0,8.963209605194145,0.0008955672537979389,0.040526265581642414
369.0,8.972050700088216,0.0011940899012004673,0.04292185817911399
1700.0,9.79225848461149,0.0,0.007577116387974077
3141.0,9.705206537541951,0.0,0.004436764372676086
4661.0,9.589816339426395,0.0,0.0
